X,Y,Z
320977.305,4168146.482,2945.61
320977.301,4168146.484,2945.597
320977.323,4168146.528,2945.591
320977.326,4168146.538,2945.585
320977.336,4168146.582,2945.5480000000002
320977.35,4168146.617,2945.535
320977.36,4168146.642,2945.527
320977.385,4168146.688,2945.526
320977.494,4168146.89,2945.526
320977.495,4168146.904,2945.508
320977.012,4168145.954,2945.555
320977.021,4168145.971,2945.553
320977.056,4168146.032,2945.557
320977.128,4168146.151,2945.58
320977.17,4168146.213,2945.603
320977.174,4168146.224,2945.597
320977.292,4168146.439,2945.602
320977.321,4168146.498,2945.595
320977.321,4168146.504,2945.585
320977.339,4168146.531,2945.595
320977.352,4168146.585,2945.552
320977.416,4168146.721,2945.527
320977.412,4168146.723,2945.514
320977.447,4168146.774,2945.533
320977.453,4168146.788,2945.532
320977.489,4168146.858,2945.525
320977.53,4168146.966,2945.48
320977.028,4168145.947,2945.567
320977.034,4168145.961,2945.563
320977.056,4168146.008,2945.555
320977.063,4168146.03,2945.541
320977.174,4168146.199,2945.593
320977.181,4168146.222,2945.582
320977.206,4168146.278,2945.568
320977.285,4168146.408,2945.592
320977.334,4168146.489,2945.605
320977.334,4168146.496,2945.596
320977.338,4168146.508,2945.591
320977.353,4168146.537,2945.587
320977.347,4168146.544,2945.562
320977.382,4168146.642,2945.515
320977.406,4168146.688,2945.513
320977.449,4168146.755,2945.533
320977.454,4168146.766,2945.529
320977.464,4168146.79,2945.522
320977.497,4168146.845,2945.53
320977.494,4168146.848,2945.518
320977.516,4168146.885,2945.524
320977.524,4168146.906,2945.516
320977.523,4168146.911,2945.504
320977.538,4168146.954,2945.486
320977.005,4168145.869,2945.582
320977.038,4168145.944,2945.564
320977.048,4168145.962,2945.564
320977.069,4168146.015,2945.545
320977.078,4168146.033,2945.544
320977.12,4168146.096,2945.566
320977.15,4168146.145,2945.577
320977.188,4168146.194,2945.605
320977.18,4168146.192,2945.587
320977.208,4168146.232,2945.606
320977.221,4168146.26,2945.599
320977.218,4168146.277,2945.567
320977.253,4168146.33,2945.584
320977.263,4168146.349,2945.585
320977.303,4168146.415,2945.598
320977.304,4168146.422,2945.59
320977.329,4168146.47,2945.587
320977.341,4168146.49,2945.59
320977.344,4168146.507,2945.575
320977.385,4168146.633,2945.507
320977.406,4168146.669,2945.51
320977.458,4168146.745,2945.54
320977.475,4168146.77,2945.549
320977.496,4168146.806,2945.554
320977.494,4168146.81,2945.542
320977.489,4168146.811,2945.528
320977.511,4168146.841,2945.543
320977.504,4168146.841,2945.527
320977.537,4168146.909,2945.518
320977.542,4168146.92,2945.515
320977.573,4168146.972,2945.523
320977.554,4168146.958,2945.491
320977.566,4168146.977,2945.496
320977.009,4168145.841,2945.591
320977.012,4168145.852,2945.584
320977.009,4168145.855,2945.57
320977.033,4168145.899,2945.575
320977.043,4168145.917,2945.574
320977.059,4168145.944,2945.58
320977.06,4168145.959,2945.561
320977.067,4168145.981,2945.5480000000002
320977.088,4168146.027,2945.539
320977.094,4168146.041,2945.535
320977.163,4168146.142,2945.575
320977.199,4168146.19,2945.601
320977.229,4168146.266,2945.574
320977.253,4168146.3,2945.589
320977.343,4168146.47,2945.587
320977.356,4168146.498,2945.582
320977.363,4168146.513,2945.581
320977.366,4168146.543,2945.546
320977.395,4168146.608,2945.53
320977.393,4168146.613,2945.5190000000002
320977.424,4168146.673,2945.516
320977.451,4168146.716,2945.526
320977.457,4168146.729,2945.524
320977.527,4168146.85,2945.537
320977.536,4168146.88,2945.521
320977.541,4168146.897,2945.508
320977.02,4168145.812,2945.618
320977.056,4168145.892,2945.603
320977.059,4168145.916,2945.576
320977.078,4168145.961,2945.565
320977.108,4168146.024,2945.555
320977.106,4168146.028,2945.543
320977.119,4168146.051,2945.546
320977.198,4168146.17,2945.586
320977.209,4168146.19,2945.588
320977.235,4168146.234,2945.595
320977.251,4168146.28,2945.573
320977.279,4168146.326,2945.583
320977.291,4168146.346,2945.585
320977.293,4168146.355,2945.578
320977.336,4168146.431,2945.586
320977.356,4168146.466,2945.587
320977.357,4168146.475,2945.579
320977.362,4168146.487,2945.575
320977.364,4168146.509,2945.5480000000002
320977.385,4168146.539,2945.562
320977.386,4168146.547,2945.553
320977.403,4168146.593,2945.535
320977.42,4168146.632,2945.526
320977.413,4168146.631,2945.508
320977.459,4168146.707,2945.521
320977.496,4168146.768,2945.535
320977.521,4168146.808,2945.544
320977.537,4168146.844,2945.535
320977.542,4168146.863,2945.523
320977.551,4168146.879,2945.523
320977.008,4168145.754,2945.635
320977.02,4168145.79,2945.615
320977.06,4168145.859,2945.624
320977.053,4168145.858,2945.607
320977.093,4168145.949,2945.587
320977.097,4168145.96,2945.58
320977.104,4168145.975,2945.577
320977.112,4168145.993,2945.576
320977.105,4168145.991,2945.558
320977.123,4168146.027,2945.557
320977.125,4168146.036,2945.549
320977.182,4168146.124,2945.577
320977.2,4168146.159,2945.576
320977.232,4168146.202,2945.599
320977.25,4168146.244,2945.588
320977.285,4168146.312,2945.587
320977.312,4168146.356,2945.595
320977.313,4168146.371,2945.577
320977.32,4168146.386,2945.575
320977.351,4168146.434,2945.588
320977.343,4168146.432,2945.57
320977.373,4168146.48,2945.584
320977.386,4168146.521,2945.561
320977.399,4168146.569,2945.527
320977.411,4168146.595,2945.521
320977.422,4168146.622,2945.516
320977.426,4168146.632,2945.51
320977.466,4168146.703,2945.517
320977.512,4168146.773,2945.54
320977.549,4168146.859,2945.518
320977.57,4168146.894,2945.523
320977.585,4168146.924,2945.524
320977.591,4168146.956,2945.494
320977.039,4168145.79,2945.631
320977.039,4168145.796,2945.62
320977.083,4168145.892,2945.603
320977.085,4168145.902,2945.595
320977.081,4168145.904,2945.581
320977.085,4168145.916,2945.575
320977.111,4168145.968,2945.571
320977.123,4168146.003,2945.553
320977.141,4168146.038,2945.551
320977.213,4168146.151,2945.585
320977.232,4168146.18,2945.595
320977.239,4168146.195,2945.593
320977.246,4168146.21,2945.59
320977.272,4168146.268,2945.578
320977.318,4168146.341,2945.598
320977.365,4168146.442,2945.58
320977.386,4168146.493,2945.566
320977.393,4168146.515,2945.554
320977.394,4168146.523,2945.546
320977.398,4168146.54,2945.531
320977.419,4168146.57,2945.545
320977.42,4168146.591,2945.518
320977.417,4168146.595,2945.506
320977.434,4168146.627,2945.506
320977.472,4168146.696,2945.511
320977.506,4168146.739,2945.539
320977.507,4168146.747,2945.531
320977.559,4168146.849,2945.525
320977.572,4168146.883,2945.513
320977.585,4168146.922,2945.491
320977.598,4168146.944,2945.498
320977.596,4168146.948,2945.486
320977.004,4168145.692,2945.635
320977.026,4168145.747,2945.614
320977.079,4168145.847,2945.616
320977.099,4168145.893,2945.606
320977.096,4168145.897,2945.593
320977.119,4168145.938,2945.596
320977.115,4168145.955,2945.562
320977.134,4168146.006,2945.542
320977.17,4168146.055,2945.568
320977.192,4168146.088,2945.58
320977.207,4168146.113,2945.586
320977.204,4168146.116,2945.573
320977.212,4168146.133,2945.572
320977.244,4168146.176,2945.594
320977.239,4168146.178,2945.58
320977.257,4168146.213,2945.579
320977.293,4168146.275,2945.587
320977.303,4168146.294,2945.588
320977.305,4168146.303,2945.581
320977.315,4168146.321,2945.582
320977.335,4168146.357,2945.583
320977.337,4168146.367,2945.576
320977.336,4168146.372,2945.566
320977.369,4168146.424,2945.582
320977.368,4168146.429,2945.571
320977.394,4168146.48,2945.571
320977.394,4168146.485,2945.561
320977.4,4168146.506,2945.549
320977.414,4168146.535,2945.546
320977.425,4168146.574,2945.52
320977.422,4168146.578,2945.508
320977.442,4168146.62,2945.502
320977.45,4168146.642,2945.492
320977.49,4168146.7,2945.518
320977.53,4168146.757,2945.544
320977.561,4168146.83,2945.524
320977.58,4168146.858,2945.537
320977.573,4168146.856,2945.52
320977.583,4168146.873,2945.522
320977.6,4168146.898,2945.532
320977.597,4168146.908,2945.511
320977.602,4168146.933,2945.489
320977.024,4168145.708,2945.631
320977.104,4168145.877,2945.608
320977.124,4168145.937,2945.578
320977.189,4168146.063,2945.575
320977.19,4168146.071,2945.566
320977.245,4168146.157,2945.593
320977.259,4168146.187,2945.588
320977.26,4168146.195,2945.579
320977.291,4168146.253,2945.583
320977.308,4168146.278,2945.59
320977.318,4168146.297,2945.591
320977.321,4168146.307,2945.585
